Run   obj.function   <kb>          <kn>          <mlt>         <sn0>         <gw0>         <st0>         <CN1>         <CN2>         <ss1>         <ss2>         <kh>          
74    1.468251E+03  3.960973E-02  4.519203E-01  1.190910E-01  1.336514E+00  5.564724E+00  5.657662E+00  8.058348E+01  8.800939E+01  1.182250E+01  7.602201E+00  1.011419E+00  
75    2.108604E+03  3.960973E-02  4.519203E-01  1.190910E-01  1.336514E+00  5.564724E+00  5.657662E+00  5.764639E+01  8.446667E+01  1.402676E+01  7.602201E+00  1.011419E+00  
76    1.555164E+03  3.960973E-02  4.519203E-01  1.190910E-01  1.336514E+00  5.564724E+00  5.657662E+00  7.531393E+01  8.446667E+01  1.182250E+01  1.688036E+01  1.011419E+00  
77    2.018680E+06  3.960973E-02  4.519203E-01  1.190910E-01  1.336514E+00  5.564724E+00  3.498063E+02  7.531393E+01  8.446667E+01  1.182250E+01  7.602201E+00  1.011419E+00  
78    1.491530E+03  3.960973E-02  4.519203E-01  1.190910E-01  1.336514E+00  5.564724E+00  5.657662E+00  7.531393E+01  9.003488E+01  1.051909E+01  7.602201E+00  1.011419E+00  
79    1.535884E+03  3.960973E-02  4.519203E-01  1.190910E-01  1.336514E+00  5.564724E+00  5.657662E+00  7.531393E+01  9.582935E+01  1.051909E+01  7.602201E+00  1.011419E+00  
80    1.476246E+03  3.960973E-02  4.519203E-01  1.190910E-01  1.336514E+00  5.564724E+00  5.657662E+00  7.531393E+01  8.446667E+01  1.051909E+01  7.602201E+00  1.213283E+00  
81    1.455593E+03  3.960973E-02  4.519203E-01  1.190910E-01  1.336514E+00  5.564724E+00  5.657662E+00  7.531393E+01  8.446667E+01  4.594342E+00  7.602201E+00  1.120164E+00  
82    1.555505E+03  3.960973E-02  4.647340E-01  1.190910E-01  1.336514E+00  5.564724E+00  5.657662E+00  7.120571E+01  8.446667E+01  4.594342E+00  7.602201E+00  1.011419E+00  
83    1.353780E+03  3.960973E-02  4.647340E-01  1.190910E-01  1.336514E+00  5.564724E+00  5.657662E+00  8.137300E+01  8.446667E+01  4.594342E+00  7.602201E+00  1.167236E+00  
